--------------------------------------------------------------------
TestCaseNum: 3b
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: RW
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
62	77.70500000000001	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
63	77.7	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
64	77.68	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
65	77.73999999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
66	77.74299999999995	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
67	77.74199999999996	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
68	77.70599999999995	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
69	77.75399999999995	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
70	77.66499999999995	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
71	77.71599999999994	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
72	77.69799999999995	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
73	77.7259999999999	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
74	77.78199999999991	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
75	77.67199999999994	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
76	77.62599999999992	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
77	77.68399999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
78	77.6509999999999	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
79	77.77599999999993	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
80	77.69599999999993	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
81	77.72299999999993	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
82	77.75299999999994	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
83	77.75299999999994	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
84	77.77999999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
85	77.74599999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
86	77.66799999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
87	77.79399999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
88	77.77399999999996	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
89	77.69099999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
90	77.75999999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
91	77.818	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
92	77.742	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
93	77.86599999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
94	77.78799999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
95	77.77599999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
96	77.77599999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
97	77.79999999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
98	77.72900000000001	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
99	77.81599999999999	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
100	77.84799999999997	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
101	77.794	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
102	77.85299999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
103	77.74499999999998	[-0.79679403  0.29647048 -0.45936251 -0.25731422]	78.5
104	77.79199999999997	[-0.7933712   0.25525748 -0.49470976 -0.24630879]	78.6
