--------------------------------------------------------------------
TestCaseNum: 2aa
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
64	12.845000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
65	13.280000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
66	13.070000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
67	13.035	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
68	12.934999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
69	12.675	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
70	13.194999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
71	12.84	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
72	13.189999999999998	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
73	12.709999999999997	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
74	13.060000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
75	12.915000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
76	13.135000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
77	13.170000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
78	12.825	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
79	13.005	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
80	13.255	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
81	12.875	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
82	13.044999999999998	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
83	12.709999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
84	13.225	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
85	13.090000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
86	13.285	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
87	13.040000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
88	13.455000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
89	13.220000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
90	13.065000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
91	13.190000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
92	13.335000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
93	13.140000000000004	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
94	13.3	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
95	12.910000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
96	13.23	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
97	13.080000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
98	13.09	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
99	13.025000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
100	13.440000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
101	13.415000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
102	12.975000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
103	12.925000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
104	13.395000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
105	13.120000000000005	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
106	13.665000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
107	13.350000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
108	13.465	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
109	13.15	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
110	13.135000000000002	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
111	13.190000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
112	13.209999999999999	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
113	13.020000000000001	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
114	13.290000000000003	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
115	13.030000000000005	[-0.63454953  0.24542623 -0.16607089 -0.71381603]	15.2
116	13.305000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
117	13.390000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
118	13.420000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
119	13.505000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
120	13.23	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
121	13.350000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
122	13.430000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
123	13.580000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
124	13.340000000000007	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
125	13.010000000000005	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
126	13.375000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
127	13.415000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
128	13.410000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
129	13.235000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
130	13.170000000000005	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
131	13.115000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
132	13.285000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
133	13.475000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
134	13.790000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
135	13.130000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
136	13.340000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
137	13.425000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
138	13.345000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
139	13.810000000000006	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
140	13.390000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
141	13.105	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
142	13.34	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
143	13.325	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
144	13.110000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
145	13.345000000000004	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
146	13.515	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
147	13.294999999999998	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
148	13.235000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
149	13.245000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
150	13.115	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
151	13.160000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
152	13.35	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
153	13.420000000000005	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
154	13.175000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
155	13.505	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
156	13.160000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
157	13.045000000000005	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
158	13.400000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
159	13.429999999999998	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
160	13.525	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
161	13.239999999999998	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
162	13.215	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
163	13.275000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
164	13.385	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
165	13.275000000000002	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
166	13.639999999999997	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
167	13.175	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
168	13.73	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
169	13.404999999999998	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
170	13.690000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
171	13.715	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
172	13.780000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
173	13.535	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
174	13.485	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
175	13.444999999999999	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
176	13.434999999999999	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
177	13.895	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
178	13.280000000000001	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
179	13.575	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
180	13.505	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
181	13.610000000000003	[-0.62758908  0.25509492 -0.19183117 -0.7101122 ]	15.9
182	14.205000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
