--------------------------------------------------------------------
TestCaseNum: 1a
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 5
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
61	78.15999999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
62	78.07399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
63	77.98999999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
64	78.1159999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
65	78.07999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
66	78.16399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
67	78.11199999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
68	78.1699999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
69	77.84599999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
70	78.18599999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
71	78.19999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
72	78.05399999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
73	78.18199999999992	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
74	78.18599999999995	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
75	78.18399999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
76	78.23599999999992	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
77	77.37399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
78	78.16599999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
79	78.08599999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
80	78.2119999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
81	77.87599999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
82	78.1819999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
83	77.8539999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
84	77.36799999999988	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
85	78.1179999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
86	78.19399999999989	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
87	78.1479999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
88	77.98199999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
89	78.23399999999988	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
90	78.14799999999988	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
91	78.0579999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
92	78.2779999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
93	78.01999999999991	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
94	78.22599999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
95	78.1759999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
96	78.09399999999992	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
97	78.21999999999993	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
98	78.07599999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
99	78.10799999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
100	78.23599999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
101	78.28599999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
102	78.15399999999994	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
103	78.20799999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
104	78.18799999999996	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
105	78.31199999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
106	78.22999999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
107	78.286	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
108	78.28399999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
109	78.28199999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
110	78.27799999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
111	78.25999999999999	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
112	78.21399999999997	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
113	77.93399999999998	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
114	78.148	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
115	78.234	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
116	78.18	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
117	78.244	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
118	78.28600000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
119	78.24400000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
120	78.30200000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
121	78.25200000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
122	78.17200000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
123	78.15600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
124	77.47400000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
125	78.058	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
126	78.21600000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
127	78.17800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
128	78.18800000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
129	78.22600000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
130	78.32600000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
131	78.32200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
132	78.05800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
133	78.17800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
134	78.17000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
135	78.16200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
136	78.35600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
137	78.28600000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
138	78.28200000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
139	78.29600000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
140	78.28400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
141	78.232	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
142	78.32200000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
143	78.23200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
144	78.35800000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
145	78.22400000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
146	78.2	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
147	78.26000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
148	78.31200000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
149	78.32000000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
150	78.19600000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
151	78.24600000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
152	78.23200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
153	78.32200000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
154	78.32800000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
155	78.31000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
156	78.02600000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
157	78.26800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
158	78.19200000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
159	78.33400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
160	78.22600000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
161	78.27200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
162	78.16000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
163	78.26000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
164	78.32600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
165	78.18400000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
166	78.18800000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
167	78.28800000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
168	78.18800000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
169	78.336	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
170	78.27600000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
171	78.28800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
172	78.07400000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
173	78.21400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
174	78.15600000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
175	78.04800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
176	78.19400000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
177	78.30600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
178	78.08400000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
179	78.28400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
180	78.25000000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
181	78.16200000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
182	78.27400000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
183	78.25000000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
184	78.17400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
185	78.34400000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
186	78.28800000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
187	78.278	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
188	78.29200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
189	78.27800000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
190	78.26600000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
191	78.30200000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
192	78.36000000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
193	78.23200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
194	78.23600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
195	78.30800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
196	78.27200000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
197	78.32600000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
198	78.32400000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
199	78.23200000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
200	78.27200000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
201	77.94200000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
202	78.26800000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
203	78.31800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
204	78.19200000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
205	78.32800000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
206	78.31600000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
207	78.24400000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
208	78.14800000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
